站点ID,线路名,站名,可换乘站点ID
1,1号线,莘庄,116/127
2,1号线,外环路,
3,1号线,莲花路,
4,1号线,锦江乐园,
5,1号线,上海南站,88/516
6,1号线,漕宝路,412
7,1号线,上海体育馆,114
8,1号线,徐家汇,251/353/382
9,1号线,衡山路,
10,1号线,常熟路,183
11,1号线,陕西南路,290/323/418
12,1号线,一大会址·黄陂南路,482
13,1号线,人民广场,47/218
14,1号线,新闸路,
15,1号线,汉中路,420/448
16,1号线,上海火车站,76/97
17,1号线,中山北路,
18,1号线,延长路,
19,1号线,上海马戏城,
20,1号线,汶水路,
21,1号线,彭浦新村,
22,1号线,共康路,
23,1号线,通河新村,
24,1号线,呼兰路,
25,1号线,共富新村,
26,1号线,宝安公路,
27,1号线,友谊西路,
28,1号线,富锦路,
29,2号线,浦东1号2号航站楼,581/595
30,2号线,海天三路,
31,2号线,远东大道,
32,2号线,凌空路,
33,2号线,川沙,
34,2号线,华夏东路,
35,2号线,创新中路,
36,2号线,唐镇,
37,2号线,广兰路,
38,2号线,金科路,
39,2号线,张江高科,
40,2号线,龙阳路,171/528/569/582
41,2号线,世纪公园,
42,2号线,上海科技馆,
43,2号线,世纪大道,104/153/243
44,2号线,浦东南路(原东昌路),
45,2号线,陆家嘴,485
46,2号线,南京东路,286/319
47,2号线,人民广场,13/218
48,2号线,南京西路,419/450
49,2号线,静安寺,184/481
50,2号线,江苏路,351/384
51,2号线,中山公园,81/92
52,2号线,娄山关路,510
53,2号线,威宁路,
54,2号线,北新泾,
55,2号线,淞虹路,
56,2号线,虹桥2号航站楼,333/589
57,2号线,虹桥火车站,334/541
58,2号线,国家会展中心(2号线),
59,2号线,蟠祥路·国家会计学院,
60,3号线,江杨北路,
61,3号线,铁力路,
62,3号线,友谊路,
63,3号线,宝杨路,
64,3号线,水产路,
65,3号线,淞滨路,
66,3号线,张华浜,
67,3号线,淞发路,
68,3号线,长江南路,555
69,3号线,殷高西路,
70,3号线,江湾镇,
71,3号线,大柏树,
72,3号线,赤峰路,
73,3号线,虹口足球场,222
74,3号线,东宝兴路,
75,3号线,宝山路,98
76,3号线,上海火车站,16/97
77,3号线,中潭路,96
78,3号线,镇坪路,95/187
79,3号线,曹杨路,94/349/386/478
80,3号线,金沙江路,93/443
81,3号线,中山公园,51/92
82,3号线,延安西路,91
83,3号线,虹桥路,90/293/326
84,3号线,宜山路,89/115/252
85,3号线,漕溪路,
86,3号线,龙漕路,413
87,3号线,石龙路,
88,3号线,上海南站,5/516
89,4号线,宜山路,84/115/252
90,4号线,虹桥路,83/293/326
91,4号线,延安西路,82
92,4号线,中山公园,51/81
93,4号线,金沙江路,80/443
94,4号线,曹杨路,79/349/386/478
95,4号线,镇坪路,78/187
96,4号线,中潭路,77
97,4号线,上海火车站,16/76
98,4号线,宝山路,75
99,4号线,海伦路,283/316
100,4号线,临平路,
101,4号线,大连路,425
102,4号线,杨树浦路,
103,4号线,浦东大道,487
104,4号线,世纪大道,43/153/243
105,4号线,向城路,
106,4号线,蓝村路,151
107,4号线,塘桥,
108,4号线,南浦大桥,
109,4号线,西藏南路,214
110,4号线,鲁班路,
111,4号线,大木桥路,416
112,4号线,东安路,181
113,4号线,上海体育场,
114,4号线,上海体育馆,7
115,4号线,宜山路,84/89/252
116,5号线,莘庄,1/127
117,5号线,春申路,128
118,5号线,银都路,129
119,5号线,颛桥,130
120,5号线,北桥,131
121,5号线,剑川路,132
122,5号线,东川路,133
123,5号线,金平路,
124,5号线,华宁路,
125,5号线,文井路,
126,5号线,闵行开发区,
127,5号线(支线),莘庄,1/116
128,5号线(支线),春申路,117
129,5号线(支线),银都路,118
130,5号线(支线),颛桥,119
131,5号线(支线),北桥,120
132,5号线(支线),剑川路,121
133,5号线(支线),东川路,122
134,5号线(支线),江川路,
135,5号线(支线),西渡,
136,5号线(支线),萧塘,
137,5号线(支线),奉浦大道,
138,5号线(支线),环城东路,
139,5号线(支线),望园路,
140,5号线(支线),金海湖,
141,5号线(支线),奉贤新城,
142,6号线,东方体育中心,209/358/377
143,6号线,灵岩南路,
144,6号线,上南路,
145,6号线,华夏西路,
146,6号线,高青路,
147,6号线,东明路,458
148,6号线,高科西路,175
149,6号线,临沂新村,
150,6号线,上海儿童医学中心,
151,6号线,蓝村路,106
152,6号线,浦电路,
153,6号线,世纪大道,43/104/243
154,6号线,源深体育中心,
155,6号线,民生路,566
156,6号线,北洋泾路,
157,6号线,德平路,
158,6号线,云山路,491
159,6号线,金桥路,
160,6号线,博兴路,
161,6号线,五莲路,
162,6号线,巨峰路,432
163,6号线,东靖路,
164,6号线,五洲大道,
165,6号线,洲海路,
166,6号线,外高桥保税区南,
167,6号线,航津路,
168,6号线,外高桥保税区北,
